Token Count,MegaETH m,MegaETH Slots,MegaETH Mint Gas,MegaETH Mint Cost 0.001gwei,MegaETH Mint Cost 0.01gwei,MegaETH Mint Cost 0.1gwei,MegaETH EditURI Cost 0.01gwei,MegaETH GenD2+ Cost 0.01gwei,Monad Mint Gas,Monad Mint Cost 1gwei,Monad Mint Cost 10gwei,Monad EditURI Cost 1gwei,Monad GenD2+ Cost 1gwei,Sei Mint Gas,Sei Mint Cost 1gwei,Sei Mint Cost 10gwei,Sei EditURI Cost 1gwei,Sei GenD2+ Cost 1gwei
0 (deploy),1,0,900000,0.00155,0.01554,0.15543,0.0004,0.001,900000,1.55,15.54,0.04,0.10,900000,1.55,15.54,0.04,0.10
100,2,400,245000,0.00042,0.00423,0.04231,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
500,8,2000,725000,0.00125,0.01252,0.12521,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
1000,16,4000,1365000,0.00236,0.02357,0.23574,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
2000,32,8000,2645000,0.00457,0.04568,0.45679,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
5000,128,20000,10325000,0.01783,0.17831,1.78313,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
10000,256,40000,20565000,0.03552,0.35516,3.55158,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
20000,512,80000,41045000,0.07088,0.70885,7.08847,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
50000,1024,200000,82005000,0.14162,1.41623,14.16226,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
100000,2048,400000,163925000,0.28310,2.83098,28.30985,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
200000,4096,800000,327765000,0.56605,5.66050,56.60502,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
500000,8192,2000000,655445000,1.13195,11.31954,113.19535,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
1000000,16384,4000000,1310805000,2.26376,22.63760,226.37602,0.0004,0.0010,165000,0.28,2.85,0.04,0.10,165000,0.28,2.85,0.04,0.10
Redeploy,1,0,900000,0.00155,0.01554,0.15543,0.0004,0.0010,900000,1.55,15.54,0.04,0.10,900000,1.55,15.54,0.04,0.10
